name,number,birth,position,height/weight,career,down_payment,salary,rank,year,image,team
 김시앙,No.26,2001년 10월 31일,포수(우투우타),177cm/79kg, 광주대성초-광주동성중-광주동성고,5000만원,3100만원,21 키움 2차 5라운드 49순위,22키움,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/51303.jpg,키움
 김시훈,No.21,1999년 02월 24일,투수(우투우타),188cm/95kg, 양덕초-마산동중-마산고,20000만원,9000만원,18 NC 1차,18NC,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/68928.jpg,NC
 김영규,No.17,2000년 02월 10일,투수(좌투좌타),188cm/86kg, 광주서석초-무등중-광주제일고,4000만원,14000만원,18 NC 2차 8라운드 79순위,18NC,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/68900.jpg,NC
 김영웅,No.30,2003년 08월 24일,내야수(우투좌타),183cm/81kg, 공주중동초-야로중-물금고,17000만원,3200만원,22 삼성 2차 1라운드 3순위,22삼성,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/52430.jpg,삼성
 김영현,No.48,2002년 08월 18일,투수(우투우타),178cm/81kg, 광주화정초-광주동성중-광주동성고,,3000만원,21 KT 2차 5라운드 45순위,23KT,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/51097.jpg,KT
 김원중,No.34,1993년 06월 14일,투수(우투좌타),192cm/96kg, 학강초-광주동성중-광주동성고,15000만원,25200만원,12 롯데 1라운드 5순위,12롯데,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/62528.jpg,롯데
 김유성,No.62,2002년 01월 01일,투수(우투우타),190cm/98kg, 김해삼성초-내동중-김해고-고려대(얼리 드래프트),15000만원,3000만원,23 두산 2라운드 19순위,23두산,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/53262.jpg,두산
 김윤식,No.47,2000년 04월 03일,투수(좌투좌타),181cm/83kg, 광주서석초-무등중-진흥고,20000만원,15000만원,20 LG 2차 1라운드 3순위,20LG,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/50157.jpg,LG
 김인태,No.39,1994년 07월 03일,외야수(좌투좌타),178cm/78kg, 포항제철서초-천안북중-북일고-두산-경찰,20000만원,10000만원,13 두산 1라운드 4순위,13두산,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/63257.jpg,두산
 김재성,No.48,1996년 10월 30일,포수(우투좌타),185cm/85kg, 신광초-성남중-덕수고-LG-경찰-LG,20000만원,7500만원,15 LG 1차,15LG,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/65132.jpg,삼성
 김재영,No.19,1993년 07월 22일,투수(우언우타),187cm/88kg, 방배초-영동중-서울고-홍익대,16000만원,5300만원,16 한화 2차 1라운드 2순위,16한화,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/66741.jpg,한화
 김재웅,No.28,1998년 10월 22일,투수(좌투좌타),174cm/86kg, 금교초(남양주리틀)-자양중-덕수고,5000만원,22000만원,17 넥센 2차 6라운드 57순위,19키움,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/67391.jpg,키움
 김재윤,No.62,1990년 09월 16일,투수(우투우타),185cm/91kg, 서울도곡초-휘문중-휘문고,,36000만원,15 KT 2차 특별 13순위,09애리조나,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/65062.jpg,KT
 김재호,No.52,1985년 03월 21일,내야수(우투우타),181cm/75kg, 남정초-중앙중-중앙고-두산-상무,20000만원,50000만원,04 두산 1차,04두산,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/74206.jpg,두산
 김재환,No.32,1988년 09월 22일,외야수(우투좌타),183cm/90kg, 영랑초-상인천중-인천고-두산-상무,15000만원,150000만원,08 두산 2차 1라운드 4순위,08두산,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/78224.jpg,두산
 김정우,No.30,1999년 05월 15일,투수(우투우타),183cm/87kg, 소래초-동산중-동산고-SK-상무-SSG,16000만원,3000만원,18 SK 1차,18SK,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/68830.jpg,두산
 김주성,No.5,1998년 01월 30일,내야수(우투우타),180cm/81kg, 수원신곡초-덕수중-휘문고,10000만원,3400만원,16 LG 2차 2라운드 14순위,16LG,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/66162.jpg,LG
 김주원,No.7,2002년 07월 30일,내야수(우투양타),185cm/83kg, 삼일초(군포시리틀)-안산중앙중-유신고,15000만원,9000만원,21 NC 2차 1라운드 6순위,21NC,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/51907.jpg,NC
 김주형,No.6,1996년 03월 05일,내야수(우투우타),176cm/84kg, 양정초-경남중-경남고-홍익대,2000만원,5500만원,19 넥센 2차 10라운드 94순위,19키움,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/69306.jpg,키움
 김준태,No.44,1994년 07월 31일,포수(우투좌타),175cm/91kg, 양정초-개성중-경남고-(영남사이버대)-롯데-상무-롯데,,10000만원,12 롯데 육성선수,13롯데,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/62558.jpg,KT
 김지찬,No.58,2001년 03월 08일,내야수(우투좌타),163cm/64kg, 백사초(이천시리틀)-모가중-라온고,11000만원,16000만원,20 삼성 2차 2라운드 15순위,20삼성,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/50458.jpg,삼성
 김진성,No.42,1985년 03월 07일,투수(우투우타),186cm/92kg, 인헌초-성남중-성남서고-SK-NC,,20000만원,04 SK 2차 6라운드 42순위,05SK,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/75867.jpg,LG
 김진욱,No.15,2002년 07월 05일,투수(좌투좌타),185cm/90kg, 수원신곡초-춘천중-강릉고,37000만원,5600만원,21 롯데 2차 1라운드 1순위,21롯데,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/51516.jpg,롯데
 김태군,No.42,1989년 12월 30일,포수(우투우타),182cm/92kg, 양정초-대동중-부산고-LG-NC-경찰-NC-삼성,8000만원,20000만원,08 LG 2차 3라운드 17순위,08LG,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/78122.jpg,KIA
 김태근,No.92,1996년 08월 10일,외야수(우투우타),175cm/74kg, 광진초(광진구리틀)-건대부중-배명고-건국대-두산-상무,6000만원,3100만원,19 두산 2차 5라운드 49순위,19두산,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/69207.jpg,두산
 김태연,No.25,1997년 06월 10일,내야수(우투우타),178cm/96kg, 서울청구초-덕수중-야탑고,5000만원,6000만원,16 한화 2차 6라운드 59순위,17한화,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/66704.jpg,한화
 김태진,No.2,1995년 10월 07일,내야수(우투좌타),170cm/73kg, 수유초-신일중-신일고-NC-경찰-NC-KIA,8000만원,12000만원,14 NC 2차 4라운드 45순위,14NC,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2023/64984.jpg,키움
