year,팀명,AVG_x,PA,AB,R_x,H_x,2B_x,3B_x,HR_x,TB,RBI,SAC_x,SF_x,BB_x,IBB_x,HBP_x,SO_x,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ERA,W,L,SV,HLD,WPCT,IP,H_y,HR_y,BB_y,HBP_y,SO_y,R_y,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG_y,2B_y,3B_y,SAC_y,SF_y,IBB_y,WP,BK,E,PKO_x,PO,A,DP,FPCT,PB,SB_x,CS_x,CS%,SBA,SB_y,CS_y,SB%,OOB,PKO_y
2021,한화,0.237,5495,4685,599,1111,213,17,80,1598,554,54,49,633,14,74,1286,110,0.341,0.334,0.675,143,0.248,0.195,4.65,49,83,21,62,0.371,1258,1208,115,673,101,1011,739,650,1.49,1,6,41,19,5672,22852,0.252,223,19,46,63,23,56,11,120,7,3776,1262,121,0.977,7,111,41,27.0,165,109,56,66.1,59,14
2022,KIA,0.272,5703,5000,720,1361,250,19,113,1988,677,61,36,542,21,63,983,111,0.398,0.349,0.747,144,0.273,0.219,4.2,70,73,38,74,0.49,1279,1286,120,526,67,1042,679,597,1.42,0,7,64,18,5636,21803,0.261,233,22,75,45,20,56,2,107,5,3839,1378,111,0.98,8,64,41,39.0,137,103,34,75.2,57,5
2022,삼성,0.27,5647,5023,663,1358,241,19,103,1946,627,83,41,446,28,54,1029,119,0.387,0.334,0.721,144,0.281,0.273,4.29,66,76,34,71,0.465,1287,1370,129,478,66,971,695,613,1.44,1,6,63,21,5678,22174,0.272,251,15,62,34,22,47,3,118,9,3861,1448,125,0.978,6,51,35,40.7,118,91,27,77.1,50,6
2022,LG,0.269,5627,4927,715,1325,208,33,118,1953,674,49,46,501,18,103,924,109,0.396,0.346,0.742,144,0.274,0.236,3.33,87,55,43,107,0.613,1288,1179,94,451,59,1031,521,476,1.27,0,16,59,15,5432,20918,0.245,166,34,56,46,27,49,0,89,6,3864,1394,139,0.983,7,113,26,18.7,148,102,46,68.9,46,10
2022,롯데,0.267,5534,4948,605,1320,227,16,106,1897,570,73,42,417,19,54,991,127,0.383,0.328,0.711,144,0.259,0.268,4.45,64,76,34,69,0.457,1280,1373,84,492,80,1199,712,633,1.46,0,13,58,13,5686,21932,0.274,257,22,64,37,21,72,1,114,3,3842,1403,124,0.979,11,99,39,28.3,100,61,39,61.0,54,6
2022,NC,0.257,5585,4899,646,1260,230,15,105,1835,613,50,47,501,24,88,981,112,0.375,0.334,0.709,143,0.265,0.233,3.9,67,74,25,54,0.475,1286,1230,111,515,98,1168,642,557,1.36,0,11,58,15,5604,22069,0.252,218,18,60,42,10,80,5,127,4,3860,1360,115,0.976,9,60,42,41.2,139,100,39,71.9,56,7
2022,두산,0.255,5510,4891,638,1249,210,12,101,1786,592,53,45,450,16,71,1007,116,0.365,0.324,0.689,144,0.266,0.246,4.45,60,82,32,68,0.423,1279,1336,117,555,70,977,721,632,1.48,0,7,54,18,5700,22437,0.269,206,19,57,48,11,69,5,117,3,3838,1394,128,0.978,13,95,34,26.4,130,90,40,69.2,55,4
2022,SSG,0.254,5642,4893,720,1245,242,18,138,1937,682,77,47,530,22,95,1075,96,0.396,0.336,0.732,143,0.272,0.228,3.87,88,52,45,68,0.629,1301,1223,130,457,65,1023,622,560,1.29,1,10,78,23,5533,21355,0.248,174,17,53,33,18,75,2,109,9,3904,1455,138,0.98,4,107,31,22.5,137,98,39,71.5,42,4
2022,KT,0.254,5547,4864,631,1237,192,19,119,1824,588,70,44,519,21,49,1183,105,0.375,0.33,0.705,144,0.239,0.232,3.51,80,62,37,65,0.563,1287,1243,92,364,63,1074,562,502,1.25,1,8,81,13,5405,20356,0.254,188,19,54,38,22,43,3,97,13,3862,1425,132,0.982,8,69,26,27.4,123,89,34,72.4,38,6
2022,키움,0.252,5655,4953,621,1250,203,33,94,1801,578,49,34,527,26,92,1032,89,0.364,0.333,0.697,143,0.243,0.182,3.79,80,62,48,84,0.563,1296,1247,96,490,70,1010,610,546,1.34,2,19,71,18,5579,21568,0.254,259,15,66,42,18,51,1,118,3,3889,1549,134,0.979,7,85,42,33.1,83,63,20,75.9,42,8
2022,한화,0.245,5513,4878,564,1196,217,19,88,1715,520,45,40,497,13,52,1264,92,0.352,0.319,0.671,144,0.237,0.211,4.83,46,96,25,81,0.324,1268,1314,112,602,83,974,759,680,1.51,1,9,37,25,5710,22412,0.268,268,22,63,57,39,65,4,134,7,3805,1406,111,0.975,8,121,51,29.7,142,93,49,65.5,49,6
