이름,구단,연도,포지션,WAAwithADJ,이닝,RAAwithADJ,수비율,RNG,E+,CS,BLK,ARM
신용수,롯데,2019,SS,-0.255,54.1,-2.47,0.857,-1.98,-0.65,0.0,-0.06,0.0
정훈,롯데,2018,1B,-0.257,321.0,-2.88,0.99,-1.77,0.02,0.0,0.0,0.17
신용수,롯데,2022,RF,-0.263,146.0,-2.56,1.0,-1.6,0.11,0.0,0.0,-0.39
민병헌,롯데,2021,CF,-0.291,88.1,-2.91,1.0,-2.38,0.04,0.0,0.0,-0.72
이병규,롯데,2018,LF,-0.316,211.1,-3.57,0.985,-2.65,0.0,0.0,0.0,0.45
고승민,롯데,2022,RF,-0.321,521.2,-3.14,0.982,-1.47,0.02,0.0,0.0,0.93
안치홍,롯데,2020,2B,-0.325,919.1,-3.46,0.972,-4.39,-0.68,0.0,0.0,0.0
배성근,롯데,2021,SS,-0.33,264.2,-3.32,0.948,-3.82,-0.51,0.0,0.0,0.0
정훈,롯데,2022,1B,-0.345,614.2,-3.3,0.995,1.16,0.58,0.0,0.0,0.0
김문호,롯데,2018,LF,-0.346,150.2,-3.86,0.938,-0.79,-0.28,0.0,0.0,-2.03
김문호,롯데,2019,CF,-0.358,185.0,-3.47,0.974,-2.35,-0.08,0.0,0.0,-0.78
이병규,롯데,2020,1B,-0.365,236.2,-3.91,0.992,-1.71,-0.03,0.0,0.0,0.0
오윤석,롯데,2020,2B,-0.385,361.2,-4.13,0.968,-3.33,-0.58,0.0,0.0,0.0
이대호,롯데,2018,1B,-0.454,398.2,-5.15,0.992,-1.71,0.07,0.0,0.0,0.0
신본기,롯데,2019,SS,-0.455,942.2,-4.39,0.969,-9.11,0.16,0.0,0.0,0.0
채태인,롯데,2019,1B,-0.486,342.1,-4.72,0.997,-2.28,0.41,0.0,0.0,0.0
한동희,롯데,2022,3B,-0.489,983.0,-4.79,0.928,-5.47,-0.89,0.0,0.0,0.0
안치홍,롯데,2021,2B,-0.506,908.2,-5.15,0.979,-7.1,0.37,0.0,0.0,0.0
렉스,롯데,2022,RF,-0.513,449.1,-5.08,0.982,-2.47,-0.07,0.0,0.0,-1.32
전준우,롯데,2020,LF,-0.52,1154.2,-5.55,0.983,1.03,-0.35,0.0,0.0,0.11
민병헌,롯데,2020,CF,-0.522,686.1,-5.48,1.0,-4.92,0.34,0.0,0.0,-1.81
정훈,롯데,2019,1B,-0.553,413.1,-5.34,0.986,-1.34,-0.26,0.0,0.0,-1.95
신용수,롯데,2021,CF,-0.576,306.0,-5.8,0.971,-4.56,-0.23,0.0,0.0,-0.96
안치홍,롯데,2022,2B,-0.59,1060.0,-5.75,0.983,-5.41,0.24,0.0,0.0,0.0
정훈,롯데,2021,1B,-0.612,921.0,-6.18,0.999,-0.56,1.36,0.0,0.0,-0.29
오윤석,롯데,2019,1B,-0.658,482.0,-6.32,0.986,-4.21,-0.04,0.0,0.0,0.0
정훈,롯데,2020,CF,-0.66,768.0,-7.08,0.996,-4.44,0.38,0.0,0.0,-0.31
피터스,롯데,2022,CF,-0.687,755.2,-6.67,0.982,-5.85,-0.09,0.0,0.0,-1.16
손아섭,롯데,2018,RF,-0.729,1068.2,-8.3,0.984,2.21,-0.15,0.0,0.0,-4.1
강로한,롯데,2019,2B,-0.852,709.0,-8.28,0.947,-8.28,-2.05,0.0,0.0,0.0
황성빈,롯데,2022,CF,-0.967,691.2,-9.41,0.958,-6.73,-0.93,0.0,0.0,-0.87
채태인,롯데,2018,1B,-1.056,696.1,-11.83,0.994,-5.45,0.31,0.0,0.0,0.0
손아섭,롯데,2019,RF,-1.124,1066.2,-10.99,0.985,-3.34,0.05,0.0,0.0,-2.33
전준우,롯데,2021,LF,-1.138,969.0,-11.68,1.0,-5.98,0.44,0.0,0.0,-1.02
손아섭,롯데,2021,RF,-1.222,1118.0,-12.43,0.978,-2.05,-0.26,0.0,0.0,-4.27
손아섭,롯데,2020,RF,-1.319,1056.2,-14.29,0.996,-4.91,0.43,0.0,0.0,-3.91
전준우,롯데,2018,LF,-1.324,1093.2,-15.13,0.986,-8.74,0.25,0.0,0.0,-1.48
전준우,롯데,2019,LF,-2.042,1165.0,-20.21,0.98,-11.13,-0.4,0.0,0.0,-2.87
전준우,롯데,2022,LF,-2.251,925.1,-22.23,0.991,-14.14,0.29,0.0,0.0,-3.44
박찬호,KIA,2020,SS,1.045,1164.1,10.84,0.975,4.13,0.5,0.0,0.0,0.0
박찬호,KIA,2022,SS,0.89,1115.1,8.59,0.962,3.09,0.01,0.0,0.0,0.0
박동원,KIA,2022,C,0.887,818.0,8.59,0.995,-0.77,0.4,1.57,0.61,0.0
김민식,KIA,2018,C,0.825,844.0,9.14,0.995,1.56,0.5,-1.24,0.3,0.0
한승택,KIA,2021,C,0.669,589.0,6.66,0.991,0.81,-0.13,0.66,0.3,0.0
김민식,KIA,2020,C,0.633,470.1,6.61,0.995,1.09,0.27,1.77,-0.74,0.0
