이름,구단,연도,포지션,WAR*,타율,OPS,wRC+,WPA,타점율,삼진율,볼삼비,순도루성공,병살율
양종민,LG,19,3B,-0.56,0.136,0.352,-17.3,-0.76,0.113636364,0.340909091,0.132450331,0,0.0681818182
강승호,LG,18,2B,-0.63,0.191,0.54,33.8,-0.43,0.106382979,0.319148936,0.299003322,0,0.0106382979
안익훈,LG,18,CF,-0.7,0.22,0.523,29.6,0.09,0.081300813,0.0975609756,0.661157025,-1,0.0325203252
윤진호,LG,19,3B,-0.71,0.102,0.303,-33.5,-0.88,0.0847457627,0.220338983,0.0763358779,0,0
김용의,LG,18,1B,-0.85,0.233,0.543,33,-0.84,0.0817610063,0.201257862,0.498442368,9,0.00628930818
전준우,롯데,18,LF,5.67,0.342,0.991,146.3,5.45,0.161870504,0.147482014,0.584652862,0,0.0215827338
손아섭,롯데,18,RF,5.3,0.329,0.95,138.6,4.35,0.168173599,0.179023508,0.68617558,17,0.027124774
전준우,롯데,21,LF,4.93,0.348,0.874,140.4,4.09,0.166666667,0.128623188,0.745428973,3,0.018115942
손아섭,롯데,20,RF,4.93,0.352,0.907,140.2,4.57,0.157407407,0.103703704,1.087344029,5,0.0166666667
전준우,롯데,19,LF,4.24,0.301,0.839,130.6,0.53,0.152293578,0.130275229,0.64697609,6,0.0348623853
이대호,롯데,18,DH,3.84,0.333,0.987,142.3,4.34,0.230202578,0.138121547,0.572569907,-1,0.0331491713
한동희,롯데,22,3B,3.77,0.307,0.817,129.2,0.32,0.14254386,0.140350877,0.514820593,0,0.0328947368
이대호,롯데,22,DH,3.58,0.331,0.881,146.2,0.96,0.187037037,0.103703704,0.766488414,0,0.0481481481
민병헌,롯데,19,CF,3.53,0.304,0.832,133.4,0.1,0.116531165,0.149051491,0.762250454,7,0.0243902439
안치홍,롯데,21,2B,3.45,0.306,0.838,124.3,1.55,0.194774347,0.137767221,0.895008606,-3,0.0237529691
손아섭,롯데,21,RF,3.33,0.319,0.787,118.8,1.98,0.10701107,0.123616236,0.909090909,5,0.0276752768
한동희,롯데,21,3B,3.28,0.267,0.807,119,0.85,0.162735849,0.224056604,0.641430074,-1,0.0495283019
마차도,롯데,20,SS,3.25,0.28,0.778,102.5,1.71,0.137860082,0.12345679,0.898502496,14,0.0411522634
안치홍,롯데,22,2B,3.24,0.284,0.79,117.2,0.87,0.117647059,0.105476673,0.978886756,5,0.0263691684
전준우,롯데,22,LF,3.1,0.304,0.795,121.3,1.19,0.144680851,0.155319149,0.47879617,3,0.029787234
전준우,롯데,20,LF,3.06,0.279,0.829,113.3,1.75,0.170818505,0.140569395,0.657395702,0,0.037366548
