이름,구단,연도,WAR,승리기여율,이닝,볼삼비,삼진율,ERA,ERA+,FIP,FIP+,WHIP,WPA
배재환,NC,2018,0.79,0.0967741935483871,36.0,1.3545816733067728,0.9444444444444444,4.5,115.3,6.19,85.0,1.72,-1.11
박진우,NC,2018,0.69,0.1,19.2,2.9411764705882355,0.78125,3.66,141.8,4.55,115.5,1.17,0.05
임정호,NC,2020,0.64,0.3188405797101449,41.0,1.890547263681592,0.926829268292683,4.61,106.0,4.63,104.2,1.27,1.35
김정훈,NC,2019,0.62,0.1590909090909091,51.1,1.9875776397515523,0.6262230919765166,3.68,114.5,4.59,91.9,1.27,0.66
배재환,NC,2019,0.6,0.3225806451612903,54.1,1.9614147909967845,1.1275415896487986,3.64,115.6,3.86,109.5,1.47,-0.66
임정호,NC,2022,0.53,0.1818181818181818,25.0,4.225352112676057,1.2,3.24,125.7,2.54,161.2,1.12,0.08
이재학,NC,2021,0.53,0.3529411764705882,83.0,1.2476007677543186,0.7831325301204819,5.2,87.2,6.06,74.8,1.52,-0.45
김건태,NC,2020,0.5,0.1212121212121212,35.0,1.4741035856573703,1.0571428571428572,4.89,100.0,5.24,92.4,1.54,-0.26
신민혁,NC,2022,0.48,0.1739130434782608,118.1,3.3762057877813505,0.8890770533446233,4.56,89.2,4.23,97.3,1.34,-0.38
강윤구,NC,2019,0.44,0.2238805970149253,56.1,2.033195020746888,0.8734402852049911,4.47,94.2,3.97,106.3,1.4,0.47
최성영,NC,2018,0.43,0.05,64.1,2.2709163346613543,0.889235569422777,5.88,88.3,5.59,94.1,1.42,-0.31
이형범,NC,2018,0.42,0.0,54.0,0.9128630705394192,0.4074074074074074,5.17,100.5,5.5,95.5,1.59,-0.42
원종현,NC,2019,0.41,0.5166666666666667,60.0,3.450292397660818,0.9833333333333332,4.05,104.0,3.2,132.1,1.32,0.74
최금강,NC,2021,0.41,0.05,28.0,1.461988304093567,0.8928571428571429,4.5,100.9,5.44,83.2,1.64,-0.36
박정수,NC,2021,0.4,1.0,16.0,1.3580246913580247,0.6875,3.94,115.3,5.27,85.8,1.5,0.05
임창민,NC,2021,0.39,0.3695652173913043,40.1,1.4427860696517412,0.7231920199501246,3.79,119.7,4.25,105.8,1.36,0.23
박진우,NC,2021,0.36,0.1111111111111111,11.0,2.3529411764705883,1.0909090909090908,1.64,277.5,2.79,160.3,1.0,-0.01
